season,event_type,start_datetime,start_datetime_est,event_id,opp_team_id,team_id,is_home,player_id,player_name,played,starter,position,primary_position,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,pls_min,points,double_double,triple_double,effective_fg_pct,efficiency,efficiency_game_score,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,fouls_drawn,offensive_fouls,points_off_turnovers,second_chance_pts,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,coach_ejections,minus,plus,defensive_rebounds_pct,offensive_rebounds_pct,rebounds_pct,steals_pct,turnovers_pct,coach_tech_fouls,second_chance_att,second_chance_made,second_chance_pct,defensive_rating,offensive_rating,fouled_out,ejected,not_playing_reason,not_playing_description,height_inches,weight_lbs,bmi,age,experience_year,draft_number
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56883,"Jackie Young",1,1,F,SF,28.15,4,10,40,1,5,20,3,5,60,0,2,2,100,0,6,6,4,1,2,0,4,2,0,0,23,11,0,0,45,16,10.4,6,5,3,60,10.88,50.6,2,0,2,0,5,3,2,66.7,0,58,81,24.359299670135,0,12.917810431132,3.2907807953324,8.4175084175084,0,0,0,0,96.518099110085,116.38732384119,NULL,NULL,NULL,NULL,72,165,22.375578703703706,25.8055,4,1
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56882,"Kelsey Plum",1,1,G,SG,24.966666666667,8,11,72.7,4,4,100,4,7,57.1,1,5,5,100,0,3,3,1,3,0,0,0.33,3,0,0,24,25,0,0,90.9,23,17.9,8,6,4,66.7,13.2,94.7,4,1,3,6,6,2,2,100,0,46,70,13.732595842075,0,7.2824371889792,0,18.518518518519,0,1,1,100,104.51845723485,143.36587724092,NULL,NULL,NULL,NULL,68,145,22.044766435986162,28.8712,6,1
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56892,"Chelsea Gray",1,1,G,PG,29.266666666667,3,9,33.3,0,3,0,3,6,50,0,5,5,100,0,4,4,4,2,1,2,2,4,0,0,23,11,0,0,33.3,12,8.7,4,2,2,100,11.2,49.1,2,0,2,0,0,1,0,0,0,56,79,15.619915392125,0,8.2832884655208,1.5826106957051,15.151515151515,0,1,0,0,95.630307013861,107.56389530304,NULL,NULL,NULL,NULL,71,170,23.70759769886927,30.7479,8,11
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56777,"Alysha Clark",1,0,F,NA,23.016666666667,3,6,50,0,2,0,3,4,75,0,3,4,75,2,3,5,1,0,0,0,0,3,0,0,-5,9,0,0,50,11,7.4,6,4,3,75,7.76,58,3,0,0,2,2,2,1,50,0,58,53,14.896038067653,11.212071663825,13.165690211309,0,0,0,0,0,0,103.4524141794,142.20469836749,NULL,NULL,NULL,NULL,71,167,23.289228327712756,36.0082,11,17
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56885,"A'ja Wilson",1,1,F,PF,28.6,8,15,53.3,0,0,0,8,15,53.3,2,7,8,87.5,4,9,13,5,1,0,1,5,2,0,0,28,23,1,0,53.3,35,23.2,14,13,7,53.8,18.52,62.1,6,0,4,3,2,1,1,100,0,57,85,35.964035964036,18.046469659373,27.548209366391,0,5.1229508196721,0,3,1,33.3,99.644437158864,143.51048584924,NULL,NULL,NULL,NULL,76,195,23.733552631578945,26.9123,5,1
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56893,"Kiah Stokes",1,0,C,NA,19.733333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,3,0,0,-16,0,0,0,0,1,-1.4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,51,35,28.957528957529,0,15.356265356265,0,50,0,0,0,0,102.69655835688,0,NULL,NULL,NULL,NULL,75,191,23.870755555555558,30.2740,8,11
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56880,"Sydney Colson",1,0,G,NA,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,-8,0,0,0,0,-1,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,100,0,0,0,0,104.56160550991,73.989964748123,NULL,NULL,NULL,NULL,68,140,21.284602076124568,33.9233,12,16
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,56810,"DeWanna Bonner",1,1,F,PF,33.016666666667,8,16,50,2,5,40,6,11,54.5,1,1,2,50,0,2,2,0,1,0,0,0,2,1,0,-22,19,0,0,56.3,9,9.4,6,6,3,50,16.88,56.3,2,0,2,0,4,2,2,100,0,91,69,7.8161892820505,0,3.671240420357,0,5.592841163311,0,0,0,0,128.06575530589,97.542521168606,NULL,NULL,NULL,NULL,76,143,17.404605263157894,35.8849,14,5
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,56813,"DiJonai Carrington",1,0,G-F,NA,22.266666666667,4,9,44.4,1,4,25,3,5,60,0,3,5,60,1,3,4,3,1,0,0,3,2,0,0,3,12,0,0,50,15,8.4,6,5,3,60,11.2,53.6,6,0,5,0,0,0,0,0,0,44,47,17.384585667375,5.1325919589393,10.887316276538,0,8.1967213114754,0,0,0,0,125.35679480017,107.59577861912,NULL,NULL,NULL,NULL,71,175,24.404879984130133,25.4932,2,20
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,56803,"Alyssa Thomas",1,1,C,C,33.016666666667,5,12,41.7,0,0,0,5,12,41.7,1,2,3,66.7,0,5,5,11,3,2,0,3.67,3,0,0,-22,12,1,0,41.7,18,12.2,8,10,4,40,13.32,45,3,0,4,0,2,2,1,50,0,91,69,19.540473205126,0,9.1781010508926,2.8359300999949,18.382352941176,0,0,0,0,118.56435371035,97.098996440913,NULL,NULL,NULL,NULL,74,190,24.39189189189189,31.2384,9,4
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,56799,"Natisha Hiedeman",1,1,G,PG,18.883333333333,5,7,71.4,2,3,66.7,3,4,75,0,1,2,50,0,2,2,2,0,1,0,0,2,0,0,-21,13,0,0,85.7,16,11.9,6,4,3,75,7.88,82.5,3,0,0,0,2,2,1,50,0,60,39,13.666258577001,0,6.4190002407125,2.4792486884774,0,0,0,0,0,120.98092487951,156.4446014652,NULL,NULL,NULL,NULL,68,135,20.524437716262977,26.4027,4,18
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,56907,"Tyasha Harris",1,0,G,NA,15.3,2,5,40,1,2,50,1,3,33.3,1,1,2,50,0,1,1,0,0,0,0,0,4,0,0,-3,6,0,0,50,-1,1.6,0,1,0,0,5.88,51,1,0,1,0,0,2,0,0,0,32,29,8.4334809192494,0,3.9611804317687,0,0,0,0,0,0,127.74290822645,97.456931025307,NULL,NULL,NULL,NULL,70,152,21.80734693877551,25.1836,3,7
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,56736,"Rebecca Allen",1,1,F,SF,20.316666666667,0,5,0,0,3,0,0,2,0,2,0,0,0,0,2,2,0,2,1,1,0,2,0,0,-16,0,0,0,0,-7,-4,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,59,43,12.702109079362,0,5.9661421433366,2.3043386087325,28.571428571429,0,0,0,0,119.85577068363,0,NULL,NULL,NULL,NULL,74,162,20.7972972972973,30.6685,8,NULL
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,80243,"Liz Dixon",1,0,F,NA,5.7833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,22.31105326764,0,10.479434110558,0,0,0,0,0,0,124.0400882217,218.18181818182,NULL,NULL,NULL,NULL,77,195,23.12109967954124,22.7671,0,NULL
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,56796,"Tiffany Hayes",1,1,G,SG,21.716666666667,4,8,50,0,2,0,4,6,66.7,0,0,0,0,0,1,1,4,2,2,0,2,2,1,0,-24,8,0,0,50,9,6.3,8,6,4,66.7,8,50,3,0,6,0,6,3,3,100,0,68,44,5.9416235486347,0,2.7907625758739,4.3115713953107,20,0,0,0,0,119.16363324891,89.340337863795,NULL,1,NULL,NULL,70,155,22.237755102040815,33.8000,11,14
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,0,80231,"Leigha Brown",1,0,G,NA,6.9833333333333,2,3,66.7,0,1,0,2,2,100,0,1,1,100,0,2,2,0,0,1,0,0,0,0,0,4,5,0,0,66.7,8,5.3,4,2,2,100,3.44,72.7,1,0,0,0,0,0,0,0,0,11,15,36.954345985064,0,17.357344326318,6.7040304631144,0,0,0,0,0,105.69632190956,138.97187967394,NULL,NULL,NULL,NULL,73,165,21.76674798273597,22.9781,0,15
