event_id,team_id,player_id,position,starter,game_score,minutes,free_throws_made,free_throws_att,field_goals_made,field_goals_att,three_points_made,three_points_att,points,offensive_rebounds,defensive_rebounds,rebounds,assists,blocks,steals,turnovers,personal_fouls
164487,1797,56938,G,0,5.19222,16.2479,1.36063,1.95735,2.42195,4.79617,0.593227,1.68214,6.79774,0.441677,1.73519,2.17687,2.15358,0.277405,1.16469,1.57311,2.75326
164487,1797,56939,F,1,6.16038,26.2755,2.17009,2.17299,2.69433,8.5312,0.841042,2.90521,8.39979,1.08847,2.58779,3.67626,3.24341,0.258115,1.192,1.87335,1.63029
164487,1797,56946,F,1,12.1876,31.2212,2.51938,4.06451,5.80819,11.6305,0.617089,2.00378,14.7528,1.64334,7.18714,8.83049,2.94181,1.54874,1.20176,2.7114,2.6733
164487,1787,57149,G,1,10.4916,31.9774,1.44378,1.93586,4.3474,10.2637,1.3776,2.30601,11.5162,1.03021,4.48701,5.51722,5.83233,0.554404,1.10666,2.28426,1.85635
164487,1787,80224,F,0,3.15616,13.1166,0.450797,0.570296,1.54161,3.34999,0.478216,1.3307,4.01222,0.456654,1.98899,2.44565,0.879336,0.237273,0.217481,0.646457,0.872295
164487,1797,80264,G,1,4.12826,14.2807,0.955066,1.10692,1.72551,3.87286,0.644785,1.61364,5.05088,0.0893863,1.55041,1.6398,1.96544,0.342914,0.638079,1.25325,0.923629
164487,1797,80266,C,1,5.03277,18.3517,0.857581,2.57197,3.15979,6.21936,0.163729,0.318063,7.34088,1.84263,3.87911,5.72174,0.474186,0.745085,0.693163,1.19268,3.35068
164487,1797,80268,F,0,10.1888,23.1436,1.99117,3.02464,4.27363,8.72327,0.725333,1.74695,11.2638,1.49756,4.71564,6.21321,2.08756,0.758949,1.82006,1.61351,2.31703
164488,1790,56736,F,1,7.32268,25.3971,1.18428,1.47021,3.86013,8.39311,0.882783,3.33536,9.78732,0.887823,2.95114,3.83896,0.725347,1.79889,1.02177,1.37471,2.34995
164488,1790,56796,G,1,10.7239,28.1392,3.63068,3.67905,4.53603,11.1908,1.51243,4.80799,14.2152,1.23022,2.58249,3.81271,2.96902,0.290281,1.07255,1.20588,3.09213
164488,1790,56799,G,1,7.86629,24.8613,1.18075,1.70158,3.2919,7.51162,1.75339,3.84812,9.51795,0.310054,2.41591,2.72597,2.05024,0.361036,1.10543,0.634458,1.50661
164488,1790,56803,C,1,12.532,35.6315,2.6322,4.72608,5.83414,12.7535,0.50358,0.482818,14.8041,1.67503,6.37743,8.05246,7.40454,0.999542,0.839188,3.40897,3.09886
164488,1790,56810,F,1,16.6066,33.7308,5.01823,5.62405,7.07159,16.293,2.17674,6.86385,21.3381,0.84184,6.44915,7.29099,3.58428,0.542003,1.48621,2.28892,1.30626
164488,1790,56813,G,0,6.96006,16.6908,1.69706,2.87769,3.21992,7.4053,1.02673,2.36347,9.16365,1.0971,2.54822,3.64532,1.36748,0.256828,0.653398,0.398616,1.89956
164488,1796,56818,G,0,4.50943,18.6045,1.34737,1.52249,3.06071,6.78938,0.516006,1.72325,7.9848,0.43268,1.73699,2.16967,1.46253,0.230517,0.754224,1.95945,1.70232
164488,1796,56827,G,1,6.81817,29.51,1.86125,2.43698,2.79011,7.00183,0.714941,1.81301,8.15641,0.901759,2.56964,3.4714,4.00035,0.390238,0.512922,1.48359,2.06894
164488,1796,56830,G,0,3.58657,11.601,0.605203,1.68095,1.705,3.58932,0.576444,1.26474,4.59165,0.821813,2.38349,3.2053,0.787751,0.35797,0.70263,0.977271,1.40485
164488,1790,56845,F,0,1.32669,6.21955,0.718434,1.00527,0.782112,2.36962,0.0935471,0.453339,2.37621,0.391697,1.13902,1.53072,0.261162,0.41683,0.231225,0.444618,1.16496
164488,1790,56872,F,0,5.71722,17.5289,1.04716,1.31018,2.19668,3.75109,0.243231,0.660846,5.68376,1.5832,2.91632,4.49952,0.814054,0.722427,1.11534,1.14563,2.8566
164488,1790,56907,G,0,4.60762,18.0204,0.611993,1.10014,1.96175,4.43174,0.697543,1.55201,5.23304,0.260778,1.53939,1.80017,2.38342,0.207496,1.13864,1.26656,1.1068
164488,1796,56915,F,1,15.9876,28.8156,3.76424,4.88788,8.13283,16.7867,1.38245,4.88726,21.4124,1.51939,6.4195,7.93888,2.58639,1.20828,0.74331,1.59647,3.17572
164488,1796,56917,G,0,6.11534,16.1535,0.994136,1.39042,3.24771,6.34809,1.0696,2.89577,8.55916,0.282827,1.48478,1.76761,3.5574,0.236344,0.29739,2.07137,1.66445
164488,1796,56918,F,0,8.72885,24.819,1.98018,2.08223,3.7939,8.12499,0.280372,0.48259,9.84835,1.66402,5.36394,7.02796,3.09403,0.412094,0.464422,2.1696,1.07963
164488,1796,56922,F,0,4.41252,10.3816,1.32956,1.41394,2.48334,6.83225,0.526431,2.20944,6.82267,0.690575,2.1521,2.84267,0.918378,0.258075,0.331654,0.616175,0.637973
164488,1796,56926,G,1,12.1162,30.1405,2.26119,2.45865,4.96883,10.8487,2.23578,6.39923,14.4346,0.615785,3.56193,4.17771,2.48675,0.386166,1.95942,1.30273,2.00049
164488,1796,56930,F,0,1.62994,14.8668,0.479724,0.617224,1.1223,3.31002,0.615099,2.21258,3.33942,0.589086,1.27465,1.86374,0.903836,0.176536,0.389812,1.11441,1.53202
164488,1796,57297,F,1,4.75667,14.9885,1.33893,1.69044,3.24237,6.65027,0.328368,0.827771,8.15204,0.935213,2.53785,3.47306,1.42667,0.326797,0.203096,2.03718,1.76469
164488,1796,80223,G,0,1.54239,6.72838,0.574744,0.617412,0.914889,2.56358,0.168022,0.448574,2.57254,0.41992,0.649898,1.06982,0.863207,0.137129,0.374904,0.751791,0.992008
164488,1790,80231,G,0,2.07682,6.84304,0.342153,0.392788,0.832673,1.52592,0.206578,0.614781,2.21408,0.270886,1.12166,1.39255,0.714136,0.190322,0.524117,0.71978,0.863769
164488,1790,80243,F,0,1.87543,7.02779,0.558256,0.662755,0.915733,2.18301,0.171207,0.462339,2.56093,0.480884,0.930088,1.41097,0.513449,0.292186,0.206042,0.599626,0.669737
164488,1796,80261,C,1,11.627,26.4521,1.39912,2.43568,4.56094,7.95042,0.662991,1.69674,11.184,2.80428,5.33239,8.13668,1.9023,0.768527,1.13687,1.16652,2.01034
164488,1796,80262,F,1,10.7808,29.0175,3.36322,4.4764,6.10953,14.5334,1.31621,4.07494,16.8985,1.17564,3.86628,5.04192,4.52935,0.620367,0.849556,3.03105,3.37239
164489,1789,56739,G,0,3.93731,11.0158,0.917906,0.946719,1.85212,3.63942,0.804159,1.80577,5.42631,0.194288,1.40796,1.60225,0.463543,0.103013,0.464794,0.687538,1.0074
164489,1788,56766,G,1,8.82667,33.2407,1.82484,1.94773,4.03705,8.32263,1.1226,2.67535,11.0216,0.470545,2.74846,3.21901,2.80646,0.636694,0.579525,1.31128,1.91769
164489,1788,56768,G,0,2.08869,7.25925,0.734141,0.882304,1.03063,3.39714,0.389882,0.886029,3.18529,0.423229,1.08746,1.51069,0.992287,0.130022,0.427788,0.494136,1.03338
164489,1788,56770,F,1,7.1283,19.427,1.25893,1.39064,3.19157,7.849,0.783352,2.13911,8.42542,1.31816,3.13766,4.45582,2.65657,0.442012,0.85863,1.2501,1.67079
164489,1788,56774,C,1,10.7026,28.2101,1.47006,2.28366,4.38942,8.13988,0.856417,2.49497,11.1053,1.84804,4.40755,6.25559,2.54504,0.743904,1.32012,1.27125,2.75528
164489,1788,56779,G,1,13.4678,30.5281,3.67735,3.84778,5.91411,14.7409,1.71508,5.31368,17.2206,0.291016,3.49197,3.78299,5.71752,0.680229,1.8789,2.49718,2.10784
164489,1789,56783,F,0,3.69944,14.6389,0.905581,1.0919,1.9651,5.2476,0.0810873,0.00427444,4.91688,1.17196,2.14851,3.32047,0.563756,0.401771,0.441796,0.407357,1.07717
164489,1789,56788,C,1,7.19485,21.2778,2.90571,3.41168,3.37148,9.13987,0.206568,1.90692,9.85524,1.99881,4.46277,6.46158,2.36947,1.18238,0.529017,2.05459,2.76852
164489,1789,56789,F,1,5.13312,21.8444,0.818393,1.04049,2.72993,5.68517,0.698909,2.11901,6.97716,0.658901,4.58324,5.24214,1.35054,0.736099,0.274742,1.57324,2.16478
164489,1789,56790,G,0,7.56793,23.3898,2.20019,3.02572,3.77948,8.58089,1.29259,4.40305,11.0517,0.218402,2.00216,2.22056,2.96341,0.0530088,0.426125,1.57352,0.940995
164489,1789,56793,F,1,8.41904,31.286,2.82046,3.62975,5.09812,15.3896,2.65185,8.10424,15.6685,0.504618,3.95006,4.45468,2.71904,0.62081,1.22058,2.23426,2.63699
164489,1789,56794,F,0,3.80058,12.2275,0.747457,1.33821,1.49553,3.10353,0.108353,0.223834,3.84687,1.32661,1.9137,3.24031,0.761542,0.245753,0.468862,0.518484,0.984895
164489,1789,56831,G,1,3.25037,21.6804,0.857556,0.932373,1.87747,4.53622,0.43965,0.644002,5.05214,0.235077,2.05976,2.29483,2.08594,0.240637,0.278115,1.31432,1.80586
164489,1788,56832,C,0,6.282,15.2001,1.15175,1.35323,2.84014,4.53424,0.152938,0.105575,6.98496,1.51622,3.22954,4.74576,0.806199,1.13164,0.530234,1.4495,2.62971
164489,1788,56859,F,1,12.8849,31.6146,4.23786,6.05361,6.5874,16.4709,1.31004,4.0131,18.7227,1.34132,4.35827,5.69959,4.31674,0.624864,2.17552,2.68927,3.52151
164489,1788,56860,C,0,1.54768,15.3372,1.04995,1.1426,1.45104,4.92649,0.392565,2.37839,4.34459,0.488234,1.56855,2.05678,0.68445,0.724135,0.263798,1.22375,1.82527
164489,1789,56900,G,1,12.7002,32.5232,2.74363,4.66913,5.7663,12.3228,1.48338,3.3529,15.7596,1.41247,4.07345,5.48593,4.47909,0.391848,1.0549,1.63556,2.52379
164489,1788,57129,F,0,3.26779,13.8576,0.551525,0.879174,1.93053,3.98577,0.226788,1.6344,4.63937,0.564944,1.50909,2.07404,0.78882,0.466137,0.500322,0.673102,1.94141
164489,1789,57298,C,0,3.80444,12.3438,0.385738,0.750528,1.45358,3.19222,0.67127,1.75597,3.96417,0.927707,2.14866,3.07636,0.840688,0.54191,0.64328,0.65743,1.52088
164489,1788,80226,G,0,5.24346,20.6626,0.981925,1.18342,2.78951,7.21994,1.68481,4.749,8.24575,0.263531,2.02162,2.28515,1.52568,0.246701,0.556215,1.08516,1.21554
164489,1789,80229,F,0,2.64175,9.99982,0.881998,1.59464,1.3099,3.3813,0.170642,0.735814,3.67244,0.593944,1.32867,1.92261,1.44528,0.313126,0.529696,0.938393,1.34805
164489,1789,80230,F,0,1.45916,10.6819,1.14547,1.94903,1.06913,2.71109,0.0974035,0.177898,3.38113,0.351285,1.33243,1.68372,0.206197,0.347803,0.082035,0.693307,1.38149
164489,1788,80256,G,0,3.13571,6.29157,0.755547,0.799755,1.42008,3.06716,0.336992,1.16629,3.93271,0.504383,1.00702,1.51141,0.466864,0.425862,0.317642,0.463741,0.835803
164490,1786,56726,F,0,2.47677,10.1145,1.03711,1.16248,1.23981,3.21634,0.153002,0.848416,3.66973,0.989377,2.0708,3.06018,0.818362,0.350244,0.153382,1.13192,1.35148
164490,1786,56728,G,1,17.4489,30.2349,3.97295,4.70333,6.02593,14.0723,3.59538,9.02373,19.6202,1.38933,5.76374,7.15306,8.03546,0.960619,1.13333,3.64988,2.30328
164490,1786,56730,F,1,11.2707,29.9162,1.53301,2.36236,6.38812,12.399,1.35881,4.39057,15.6681,1.2612,2.78094,4.04214,2.58667,0.518323,1.16342,2.13224,2.15858
164490,1786,56738,F,0,1.81709,10.2352,0.60848,0.727833,0.993904,2.91571,0.321041,0.976965,2.91733,0.63714,1.19851,1.83565,0.794036,0.193075,0.362767,0.715998,1.3809
164490,1793,56742,C,1,8.04133,25.8394,1.72498,2.23543,4.23502,9.6661,0.511185,2.10887,10.7062,2.05313,3.74954,5.80267,1.01866,1.16055,0.692883,1.31287,2.13985
164490,1786,56756,G,0,9.5067,25.9698,1.63992,2.21361,4.27451,9.08837,1.25345,2.94812,11.4424,0.461203,3.06903,3.53024,6.07885,0.541462,0.898244,2.80204,2.57035
164490,1793,56798,G,0,3.71998,13.5446,0.491006,0.557459,1.65946,3.99181,0.740866,1.6849,4.5508,0.224103,1.30859,1.53269,1.18629,0.264308,0.559581,0.48589,0.780773
